,Connections,Flagle,Framed,Octordle,Waffle,Wordle,Worldle
2022-03-15,,,,,,2.0,
2022-03-16,,,,,,6.0,
2022-03-17,,,,,,4.0,
2022-03-18,,,,,,2.0,
2022-03-19,,,,,,5.0,2.0
2022-03-20,,,,,,3.0,3.0
2022-03-21,,,,,,3.0,3.0
2022-03-22,,,,,,5.0,2.0
2022-03-23,,,,,,4.0,
2022-03-24,,,,,,3.0,1.0
2022-03-25,,,,,,4.0,1.0
2022-03-26,,,,,,5.0,2.0
2022-03-27,,,,,,3.0,3.0
2022-03-28,,,,,,4.0,1.0
2022-03-29,,,,,,4.0,1.0
2022-03-30,,,,,,5.0,3.0
2022-03-31,,,,,,6.0,3.0
2022-04-01,,,,,,4.0,2.0
2022-04-02,,,,,,2.0,
2022-04-03,,,,,,6.0,
2022-04-04,,,,,,3.0,
2022-04-05,,,,,,4.0,
2022-04-06,,,,,,3.0,
2022-04-07,,,,,,,
2022-04-08,,,,,,3.0,
2022-04-09,,,,,,2.0,
2022-04-10,,,,,,4.0,
2022-04-11,,,,,,3.0,
2022-04-12,,,,,,3.0,
2022-04-13,,,,,,3.0,3.0
2022-04-14,,,,,,3.0,
2022-04-15,,,,11.0,,3.0,3.0
2022-04-16,,,,13.0,,3.0,
2022-04-17,,,,11.0,,2.0,3.0
2022-04-18,,,,11.0,,3.0,4.0
2022-04-19,,,,12.0,,7.0,2.0
2022-04-20,,,,12.0,,4.0,3.0
2022-04-21,,,,13.0,,5.0,1.0
2022-04-22,,,,,,3.0,6.0
2022-04-23,,,,,,4.0,
2022-04-24,,,,,,2.0,
2022-04-25,,,,12.0,,3.0,6.0
2022-04-26,,,,12.0,,3.0,1.0
2022-04-27,,,,12.0,,4.0,6.0
2022-04-28,,,,13.0,,3.0,
2022-04-29,,,,,,2.0,6.0
2022-04-30,,,,12.0,,5.0,
2022-05-01,,,,11.0,,5.0,2.0
2022-05-02,,,,13.0,,4.0,1.0
2022-05-03,,,,11.0,5.0,5.0,5.0
2022-05-04,,,,11.0,,3.0,
2022-05-05,,,,11.0,,7.0,
2022-05-06,,,,,,3.0,
2022-05-07,,,,,,,
2022-05-08,,,,10.0,3.0,5.0,
2022-05-09,,,,11.0,1.0,4.0,4.0
2022-05-10,,,,,,5.0,4.0
2022-05-11,,,,,,3.0,
2022-05-12,,,,,,,
2022-05-13,,,,,,3.0,6.0
2022-05-14,,,,,1.0,3.0,
2022-05-15,,,,,,6.0,
2022-05-16,,,,13.0,2.0,4.0,5.0
2022-05-17,,,,,2.0,,1.0
2022-05-18,,,,12.0,,3.0,1.0
2022-05-19,,,,,,4.0,6.0
2022-05-20,,,,,,,
2022-05-21,,,,,,,
2022-05-22,,,,,,,
2022-05-23,,,,12.0,,3.0,
2022-05-24,,,,13.0,,3.0,
2022-05-25,,,,,,5.0,5.0
2022-05-26,,,,,,3.0,2.0
2022-05-27,,,,12.0,,3.0,2.0
2022-05-28,,,,,,4.0,3.0
2022-05-29,,,,,,4.0,
2022-05-30,,,,,,,
2022-05-31,,,,,,5.0,2.0
2022-06-01,,,,,,4.0,5.0
2022-06-02,,,,,,,
2022-06-03,,,,,,,
2022-06-04,,,,,,,
2022-06-05,,,,,,4.0,2.0
2022-06-06,,,,,4.0,4.0,5.0
2022-06-07,,,,,,4.0,1.0
